member_email,member_name,member_phone,member_address,card_number,card_issued_on,card_expires_on,book_isbn,book_title,publisher_name,author_names,tag_names,copy_barcode,shelf_code,borrowed_at,due_date,returned_at,fine_eur
james@example.com,James,+31667890123,"Catharijnesingel 14, Utrecht",C-1006,2023-09-12,2026-09-12,9781491950357,Learning Python,O'Reilly,Mark Lutz,python; beginners,BC-0014,C-01,2025-12-22 00:00,2026-01-12 00:00,2026-01-15 00:00,0.75
tom@example.com,Tom,+31645678901,"Biltstraat 88, Utrecht",C-1004,2023-11-20,2026-11-20,9780132350884,Clean Code,Prentice Hall,Robert C. Martin,best-practices; software-design,BC-0005,C-01,2026-03-02 13:05,2026-03-23 13:05,2026-03-10 13:05,0.00
tom@example.com,Tom,+31645678901,"Biltstraat 88, Utrecht",C-1004,2023-11-20,2026-11-20,9780201485677,Refactoring,Addison-Wesley,Martin Fowler,best-practices; java,BC-0041,B-01,2026-05-16 06:07,2026-06-06 06:07,,0.00
nina@example.com,Nina,+31678901234,"Nobelstraat 7, Utrecht",C-1007,2024-05-22,2027-05-22,9781492056300,Designing Data-Intensive Applications,O'Reilly,Martin Kleppmann,databases; architecture; distributed-systems,BC-0034,A-02,2026-03-24 17:05,2026-04-14 17:05,2026-04-04 17:05,0.00
yuki@example.com,Yuki,+31690123456,"Springweg 2, Utrecht",C-1009,2023-12-08,2026-12-08,9780201633610,Design Patterns,Addison-Wesley,Erich Gamma; Richard Helm; Ralph Johnson; John Vlissides,design-patterns; oop,BC-0007,B-01,2025-12-30 21:57,2026-01-20 21:57,2026-01-07 21:57,0.00
chen@example.com,Chen,+31601234567,"Wittevrouwenstraat 31, Utrecht",C-1010,2024-06-01,2027-06-01,9780134494166,Clean Architecture,Prentice Hall,Robert C. Martin,architecture; best-practices,BC-0031,C-01,2026-03-27 14:04,2026-04-17 14:04,,9.00
alex@example.com,Alex,+31623456789,"Lange Viestraat 5, Utrecht",C-1002,2024-02-15,2027-02-15,9780132181815,The Clean Coder,Prentice Hall,Robert C. Martin,best-practices; career,BC-0028,D-01,2026-05-04 10:28,2026-05-25 10:28,,0.00
priya@example.com,Priya,+31634567890,"Maliebaan 22, Utrecht",C-1003,2024-03-01,2027-03-01,9780132181815,The Clean Coder,Prentice Hall,Robert C. Martin,best-practices; career,BC-0029,D-01,2025-12-26 20:28,2026-01-16 20:28,2026-01-08 20:28,0.00
lena@example.com,Lena,+31656789012,"Voorstraat 3, Utrecht",C-1005,2024-04-05,2027-04-05,9780596007126,Head First Design Patterns,O'Reilly,Eric Freeman; Elisabeth Robson,design-patterns; java,BC-0024,A-02,2026-04-22 16:21,2026-05-13 16:21,2026-05-02 16:21,0.00
sam@example.com,Sam,+31612345678,"Oudegracht 10, Utrecht",C-1001,2024-01-10,2027-01-10,9780321774620,Continuous Delivery,Addison-Wesley,Jez Humble; David Farley,devops; best-practices,BC-0039,D-01,2026-05-16 06:51,2026-06-06 06:51,,0.00
alex@example.com,Alex,+31623456789,"Lange Viestraat 5, Utrecht",C-1002,2024-02-15,2027-02-15,9780201633610,Design Patterns,Addison-Wesley,Erich Gamma; Richard Helm; Ralph Johnson; John Vlissides,design-patterns; oop,BC-0007,B-01,2026-01-12 23:14,2026-02-02 23:14,2026-02-10 23:14,2.00
nina@example.com,Nina,+31678901234,"Nobelstraat 7, Utrecht",C-1007,2024-05-22,2027-05-22,9780201633610,Design Patterns,Addison-Wesley,Erich Gamma; Richard Helm; Ralph Johnson; John Vlissides,design-patterns; oop,BC-0008,B-01,2026-03-13 18:20,2026-04-03 18:20,2026-04-02 18:20,0.00
nina@example.com,Nina,+31678901234,"Nobelstraat 7, Utrecht",C-1007,2024-05-22,2027-05-22,9780321125217,Domain-Driven Design,Addison-Wesley,Eric Evans,software-design; architecture,BC-0020,D-01,2026-04-07 04:41,2026-04-28 04:41,2026-04-11 04:41,0.00
omar@example.com,Omar,+31689012345,"Rijnkade 19, Utrecht",C-1008,2024-01-30,2027-01-30,9781491950357,Learning Python,O'Reilly,Mark Lutz,python; beginners,BC-0015,C-01,2025-11-26 16:42,2025-12-17 16:42,2025-12-01 16:42,0.00
james@example.com,James,+31667890123,"Catharijnesingel 14, Utrecht",C-1006,2023-09-12,2026-09-12,9781617294945,Spring in Action,Manning,Craig Walls,java; spring; frameworks,BC-0025,D-01,2026-04-03 12:56,2026-04-24 12:56,2026-04-09 12:56,0.00
omar@example.com,Omar,+31689012345,"Rijnkade 19, Utrecht",C-1008,2024-01-30,2027-01-30,9781617294945,Spring in Action,Manning,Craig Walls,java; spring; frameworks,BC-0027,D-01,2026-04-21 18:58,2026-05-12 18:58,2026-05-02 18:58,0.00
yuki@example.com,Yuki,+31690123456,"Springweg 2, Utrecht",C-1009,2023-12-08,2026-12-08,9780134685991,Effective Java,Addison-Wesley,Joshua Bloch,java; best-practices,BC-0002,B-02,2026-01-08 20:51,2026-01-29 20:51,2026-02-05 20:51,1.75
priya@example.com,Priya,+31634567890,"Maliebaan 22, Utrecht",C-1003,2024-03-01,2027-03-01,9780321125217,Domain-Driven Design,Addison-Wesley,Eric Evans,software-design; architecture,BC-0021,D-01,2025-12-12 12:14,2026-01-02 12:14,2025-12-28 12:14,0.00
tom@example.com,Tom,+31645678901,"Biltstraat 88, Utrecht",C-1004,2023-11-20,2026-11-20,9780596007126,Head First Design Patterns,O'Reilly,Eric Freeman; Elisabeth Robson,design-patterns; java,BC-0023,A-02,2026-05-15 01:20,2026-06-05 01:20,2026-06-11 01:20,1.50
james@example.com,James,+31667890123,"Catharijnesingel 14, Utrecht",C-1006,2023-09-12,2026-09-12,9780134494166,Clean Architecture,Prentice Hall,Robert C. Martin,architecture; best-practices,BC-0033,C-01,2025-12-02 15:36,2025-12-23 15:36,2025-12-16 15:36,0.00
sam@example.com,Sam,+31612345678,"Oudegracht 10, Utrecht",C-1001,2024-01-10,2027-01-10,9781491950357,Learning Python,O'Reilly,Mark Lutz,python; beginners,BC-0017,C-01,2026-05-19 18:25,2026-06-09 18:25,2026-05-29 18:25,0.00
priya@example.com,Priya,+31634567890,"Maliebaan 22, Utrecht",C-1003,2024-03-01,2027-03-01,9780201485677,Refactoring,Addison-Wesley,Martin Fowler,best-practices; java,BC-0041,B-01,2026-01-06 04:53,2026-01-27 04:53,2026-01-26 04:53,0.00
alex@example.com,Alex,+31623456789,"Lange Viestraat 5, Utrecht",C-1002,2024-02-15,2027-02-15,9780134494166,Clean Architecture,Prentice Hall,Robert C. Martin,architecture; best-practices,BC-0032,C-01,2025-12-05 12:37,2025-12-26 12:37,2025-12-24 12:37,0.00
omar@example.com,Omar,+31689012345,"Rijnkade 19, Utrecht",C-1008,2024-01-30,2027-01-30,9780596517748,JavaScript: The Good Parts,O'Reilly,Douglas Crockford,javascript; beginners,BC-0013,B-03,2026-03-02 15:28,2026-03-23 15:28,2026-03-18 15:28,0.00
sam@example.com,Sam,+31612345678,"Oudegracht 10, Utrecht",C-1001,2024-01-10,2027-01-10,9780137081073,The Pragmatic Programmer,Addison-Wesley,David Thomas; Andrew Hunt,best-practices; career,BC-0018,C-01,2026-04-10 22:51,2026-05-01 22:51,2026-04-18 22:51,0.00
priya@example.com,Priya,+31634567890,"Maliebaan 22, Utrecht",C-1003,2024-03-01,2027-03-01,9781491950357,Learning Python,O'Reilly,Mark Lutz,python; beginners,BC-0015,C-01,2026-04-20 05:39,2026-05-11 05:39,2026-05-04 05:39,0.00
tom@example.com,Tom,+31645678901,"Biltstraat 88, Utrecht",C-1004,2023-11-20,2026-11-20,9781491950357,Learning Python,O'Reilly,Mark Lutz,python; beginners,BC-0016,C-01,2026-02-01 04:12,2026-02-22 04:12,2026-03-01 04:12,1.75
chen@example.com,Chen,+31601234567,"Wittevrouwenstraat 31, Utrecht",C-1010,2024-06-01,2027-06-01,9780132181815,The Clean Coder,Prentice Hall,Robert C. Martin,best-practices; career,BC-0029,D-01,2025-12-04 15:24,2025-12-25 15:24,2025-12-26 15:24,0.25
chen@example.com,Chen,+31601234567,"Wittevrouwenstraat 31, Utrecht",C-1010,2024-06-01,2027-06-01,9781617294945,Spring in Action,Manning,Craig Walls,java; spring; frameworks,BC-0025,D-01,2026-02-09 13:01,2026-03-02 13:01,2026-02-22 13:01,0.00
chen@example.com,Chen,+31601234567,"Wittevrouwenstraat 31, Utrecht",C-1010,2024-06-01,2027-06-01,9780596517748,JavaScript: The Good Parts,O'Reilly,Douglas Crockford,javascript; beginners,BC-0012,B-03,2026-04-30 17:43,2026-05-21 17:43,2026-05-04 17:43,0.00
omar@example.com,Omar,+31689012345,"Rijnkade 19, Utrecht",C-1008,2024-01-30,2027-01-30,9780201485677,Refactoring,Addison-Wesley,Martin Fowler,best-practices; java,BC-0041,B-01,2026-03-11 18:49,2026-04-01 18:49,2026-04-05 18:49,1.00
sam@example.com,Sam,+31612345678,"Oudegracht 10, Utrecht",C-1001,2024-01-10,2027-01-10,9780132350884,Clean Code,Prentice Hall,Robert C. Martin,best-practices; software-design,BC-0006,C-01,2026-05-04 18:49,2026-05-25 18:49,2026-05-23 18:49,0.00
lena@example.com,Lena,+31656789012,"Voorstraat 3, Utrecht",C-1005,2024-04-05,2027-04-05,9781492056300,Designing Data-Intensive Applications,O'Reilly,Martin Kleppmann,databases; architecture; distributed-systems,BC-0034,A-02,2025-11-29 23:07,2025-12-20 23:07,2025-12-22 23:07,0.50
alex@example.com,Alex,+31623456789,"Lange Viestraat 5, Utrecht",C-1002,2024-02-15,2027-02-15,9781491950357,Learning Python,O'Reilly,Mark Lutz,python; beginners,BC-0015,C-01,2025-12-06 22:01,2025-12-27 22:01,2025-12-18 22:01,0.00
omar@example.com,Omar,+31689012345,"Rijnkade 19, Utrecht",C-1008,2024-01-30,2027-01-30,9780132181815,The Clean Coder,Prentice Hall,Robert C. Martin,best-practices; career,BC-0029,D-01,2026-02-11 15:54,2026-03-04 15:54,2026-02-19 15:54,0.00
james@example.com,James,+31667890123,"Catharijnesingel 14, Utrecht",C-1006,2023-09-12,2026-09-12,9780134685991,Effective Java,Addison-Wesley,Joshua Bloch,java; best-practices,BC-0001,B-02,2026-03-09 18:37,2026-03-30 18:37,2026-03-26 18:37,0.00
priya@example.com,Priya,+31634567890,"Maliebaan 22, Utrecht",C-1003,2024-03-01,2027-03-01,9780596007126,Head First Design Patterns,O'Reilly,Eric Freeman; Elisabeth Robson,design-patterns; java,BC-0023,A-02,2026-01-04 07:08,2026-01-25 07:08,2026-01-26 07:08,0.25
yuki@example.com,Yuki,+31690123456,"Springweg 2, Utrecht",C-1009,2023-12-08,2026-12-08,9780596517748,JavaScript: The Good Parts,O'Reilly,Douglas Crockford,javascript; beginners,BC-0013,B-03,2025-12-20 21:10,2026-01-10 21:10,2025-12-24 21:10,0.00
